🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,Desert,Hakushi Hasegawa,3.3,2019,Progressive Pop; Nu Jazz; Jazz Pop; Art Pop; Jazzstep; Drill and Bass,Progressive Pop; Nu J–zz; J–zz Pop; Art Pop; J–zzstep; Drill and Bass; Electronic; Drum and Bass; EDM; Dance; IDM,INC; dense; energetic 100; fight song; noisy; complex; fun,,,Japanese,砂漠で,長谷川白紙,,,,,7/18/2024,Hakushi Hasegawa - Desert,,10632,2024-07-18 10632,,,,#d0e0e3,#b45f06
✓,Evil Things,Hakushi Hasegawa,3.4,2019,Neo-Psychedelia; Art Pop; Folktronica,Neo-Psychedelia; Art Pop; F0lktronica; Electronic,INC; dense; manic; fight song; energetic; complex; light black; mysterious; epic; adventure,,,Japanese,悪魔,長谷川白紙,,,,,7/18/2024,Hakushi Hasegawa - Evil Things,,10633,2024-07-18 10633,,,,#d0e0e3,#b45f06
✓,Itsukushii Hibi,Hakushi Hasegawa,3.3,2019,Progressive Pop; Jazz Pop; Art Pop; Nu Jazz,Progressive Pop; J–zz Pop; Art Pop; Nu J–zz; Electronic,INC; dense; manic; fight song; energetic; complex; epic; mysterious,,,Japanese,いつくしい日々,長谷川白紙,,,,,7/18/2024,Hakushi Hasegawa - Itsukushii Hibi,,10634,2024-07-18 10634,,,,#d0e0e3,#b45f06
✓,I Can See Mountains,Hakushi Hasegawa,3.3,2019,Progressive Pop; Jazz Pop; Nu Jazz,Progressive Pop; J–zz Pop; Nu J–zz; Electronic,INC; lush; fun; quirky; adventure; sunny day; dense; manic; fight song,,,Japanese,山が見える,長谷川白紙,,,,,7/18/2024,Hakushi Hasegawa - I Can See Mountains,,10635,2024-07-18 10635,,,,#d0e0e3,#b45f06
✓,Kitsune Maison Freestyle,Porter Robinson,3.3,2024,Indietronica; Digicore; Indie Pop,Indietronica; Digicore; Indie Pop; Electronic; Hip Hop,INC; introspective; existential; fun; sulking; bittersweet,,,English,,,Seen live,,,,7/19/2024,Porter Robinson - Kitsune Maison Freestyle,,10636,2024-07-19 10636,,,,#ff9900,#000000
✓,Happiness Is Easy,Talk Talk,3.3,1986,Art Pop; Progressive Pop,Art Pop; Progressive Pop,INC; lush; poetic; conscious; protest; bittersweet; angry; fight song; ethereal,,,English,,,,,,,7/19/2024,Talk Talk - Happiness Is Easy,,10637,2024-07-19 10637,,,,#ffd966,#000000
✓,Give It Up,Talk Talk,3.3,1986,Sophisti-Pop; Art Pop,Sophisti-Pop; Art Pop,INC; lush; conscious; bittersweet; sulking; melancholic; forest; nature,,,English,,,,,,,7/19/2024,Talk Talk - Give It Up,,10638,2024-07-19 10638,,,,#ffd966,#000000
✓,Time It's Time,Talk Talk,3.3,1986,Progressive Pop; Art Pop,Progressive Pop; Art Pop,INC; poetic; nature; lush; ethereal; forest; Spring; uplifting; resolute; passionate; epic; introspective; bittersweet; fight song,,,English,,,,,,,7/19/2024,Talk Talk - Time It's Time,,10639,2024-07-19 10639,,,,#ffd966,#000000
✓,Sleeps with Dice,Old Saw,3.3,2024,Ambient Americana; Drone; Post-Minimalism,Ambient Am–ricana; Drone; Post-M–nimalism; Northern American Music; Regional Music; Experimental; Modern Classical,INC; pastoral; surreal; lush; soft; peaceful; ethereal; nature; soothing; adventure; forest; Summer; Spring; sedated; mysterious,,,Instrumental,,,,,,,7/19/2024,Old Saw - Sleeps with Dice,,10640,2024-07-19 10640,,,,#000000,#ffffff
✓,Distance Learner,Fuubutsushi,3.4,2024,Chamber Jazz,Chamber Jazz,A-INC; ECM Style; nature; adventure; peaceful; soft; soothing; relaxation; lush; ethereal; forest; sunny day,,,Instrumental,,,,,,,7/19/2024,Fuubutsushi - Distance Learner,,10641,2024-07-19 10641,,,,#efefef,#000000
✓,Tenel Ka (First Crush),Fuubutsushi,3.4,2024,Chamber Jazz,Chamber Jazz,A-INC; ECM Style; nature; adventure; peaceful; soft; soothing; relaxation; lush; ethereal; forest; sunny day,,,Instrumental,,,,,,,7/19/2024,Fuubutsushi - Tenel Ka (First Crush),,10642,2024-07-19 10642,,,,#efefef,#000000
✓,New Flora,Fuubutsushi,3.4,2024,Chamber Jazz,Chamber Jazz,A-INC; ECM Style; nature; adventure; peaceful; soft; soothing; relaxation; lush; ethereal; forest; sunny day,,,Instrumental,,,,,,,7/19/2024,Fuubutsushi - New Flora,,10643,2024-07-19 10643,,,,#efefef,#000000
✓,Spent for Light,Fuubutsushi,3.5,2024,Chamber Jazz,Chamber Jazz,INC; ECM Style; nature; lush; ethereal; adventure; forest; sunny day; noisy,,,Instrumental,,,,,,,7/19/2024,Fuubutsushi - Spent for Light,,10644,2024-07-19 10644,,,,#efefef,#000000
✓,Weathervaning,Old Saw,3.3,2023,Ambient Americana; Drone,Ambient Am–ricana; Drone; Northern American Music; Regional Music; Experimental,INC; pastoral; surreal; lush; sedated; soft; ethereal; peaceful; nature; mysterious; soothing; adventure; Summer; hot,,,Instrumental,,,,,,,7/19/2024,Old Saw - Weathervaning,,10645,2024-07-19 10645,,,,#e7e0c4,#000000
✓,Swamp of Sadness,Johnny Blue Skies,3.4,2024,Country Rock; Progressive Country,C0untry Rock; Progressive Country; Northern American Music; Regional Music,INC; poetic; aquatic; sunset; starry night; sad; bittersweet; melancholic; sulking; soft; soothing; introspective; breakup; fantasy,,,English,,Sturgill Simpson,"Johnny Blue Skies and Sturgill Simpson are the same. In code, try to account for special cases like these",,,Mx: Gold Ranch,7/19/2024,Johnny Blue Skies - Swamp of Sadness,,10646,2024-07-19 10646,,,,#658071,#d5ce9b
✓,If The Sun Never Rises Again,Johnny Blue Skies,3.5,2024,Country Rock; Soft Rock; Progressive Country,C0untry Rock; Soft Rock; Progressive Country; Pop Rock; Northern American Music; Regional Music,INC; starry night; sunset; melancholic; bittersweet; love; lonely; sulking; poetic; breakup; sad,,,English,,Sturgill Simpson,"Johnny Blue Skies and Sturgill Simpson are the same. In code, try to account for special cases like these",,,Mx: Gold Ranch,7/19/2024,Johnny Blue Skies - If The Sun Never Rises Again,,10647,2024-07-19 10647,,,,#658071,#d5ce9b
✓,Jupiter's Faerie,Johnny Blue Skies,4.3,2024,Progressive Country; Soft Rock,Progressive Country; Soft Rock; Northern American Music; Regional Music; Pop Rock,nostalgic; death; bittersweet; space; sunset; melancholic; introspective; starry night; poetic; ethereal; epic; passionate; progressive; sulking; lush; lonely; philosophical; existential; fantasy; soft; soothing; ballad,,,English,,Sturgill Simpson,"Seen live; Johnny Blue Skies and Sturgill Simpson are the same. In code, try to account for special cases like these",,,Mx: Gold Ranch,7/19/2024,Johnny Blue Skies - Jupiter's Faerie,,10648,2024-07-19 10648,,,,#658071,#d5ce9b
✓,One For The Road,Johnny Blue Skies,4.3,2024,Progressive Country; Country Rock,Progressive Country; C0untry Rock; Northern American Music; Regional Music,breakup; love; bittersweet; sunset; adventure; melancholic; epic; progressive; introspective; passionate; lush; starry night; soft; soothing; nostalgic; resolute; pastoral; nature,,,English,,Sturgill Simpson,"Seen live; Johnny Blue Skies and Sturgill Simpson are the same. In code, try to account for special cases like these",,,Mx: Gold Ranch,7/19/2024,Johnny Blue Skies - One For The Road,,10649,2024-07-19 10649,,,,#658071,#d5ce9b
✓,First Light,Makoto Matsushita,3.4,1982,City Pop,City Pop,INC; diamond; luxurious; lush; Summer; sunset; urban night; ethereal; fun; adventure; celebration; love,,,Japanese; English,,,,,,,7/19/2024,Makoto Matsushita - First Light,,10650,2024-07-19 10650,,,,#ffacaa,#674ea7
✓,Love Was Really Gone,Makoto Matsushita,3.3,1982,Smooth Soul; City Pop; Yacht Rock,Smooth Soul; City Pop; Yacht Rock; R&B; Soft Rock; Pop Rock,INC; diamond; lush; luxurious; ethereal; urban night; breakup; bittersweet; melancholic; sulking; introspective; Summer,,,English,,,,,,,7/19/2024,Makoto Matsushita - Love Was Really Gone,,10651,2024-07-19 10651,,,,#ffacaa,#674ea7
✓,Sunset,Makoto Matsushita,3.3,1982,City Pop,City Pop,INC; sunset; diamond; lush; luxurious; ethereal; urban night; late night; soothing; soft; relaxation; bittersweet; melancholic; Summer; ballad,,,Japanese; English,,,,,,,7/19/2024,Makoto Matsushita - Sunset,,10652,2024-07-19 10652,,,,#ffacaa,#674ea7
✓,A Thousand Years,Christina Perri,3.3,2011,Adult Contemporary; Film Soundtrack,Adult Contemporary; Film Soundtrack; Pop; Descriptor Genres,INC; love; lush; melancholic; soft; soothing; resolute; optimistic; ballad,,,English,,,,[soundtrack],,,7/20/2024,Christina Perri - A Thousand Years,,10653,2024-07-20 10653,,,,#e06666,#f4cccc
✓,Lea Room,Johnny Foreigner,3.4,2008,Emo-Pop; Indie Rock,Emo-P0p; Indie Rock; Punk; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/20/2024,Johnny Foreigner - Lea Room,,10654,2024-07-20 10654,,,2,#a2c4c9,#274e13
✓,Our Bipolar Friends,Johnny Foreigner,3.3,2008,Emo-Pop; Indie Rock,Emo-P0p; Indie Rock; Punk; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Our Bipolar Friends,,10655,2024-07-21 10655,,,4,#a2c4c9,#274e13
✓,Eyes Wide Terrified,Johnny Foreigner,3.3,2008,Emo-Pop; Indie Rock,Emo-P0p; Indie Rock; Punk; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Eyes Wide Terrified,,10656,2024-07-21 10656,,,5,#a2c4c9,#274e13
✓,Cranes and Cranes and Cranes and Cranes,Johnny Foreigner,3.3,2008,Pop Punk; Emo-Pop; Math Pop,P0p Punk; Emo-P0p; Math P0p; Punk Rock; Indie Rock; Math Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Cranes and Cranes and Cranes and Cranes,,10657,2024-07-21 10657,,,6,#a2c4c9,#274e13
✓,The End and Everything After,Johnny Foreigner,3.3,2008,Pop Punk; Indie Rock; Emo-Pop,P0p Punk; Indie Rock; Emo-P0p; Punk Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - The End and Everything After,,10658,2024-07-21 10658,,,7,#a2c4c9,#274e13
✓,Hennings Favourite,Johnny Foreigner,3.3,2008,Pop Punk; Indie Rock; Emo-Pop,P0p Punk; Indie Rock; Emo-P0p; Punk Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Hennings Favourite,,10659,2024-07-21 10659,,,8,#a2c4c9,#274e13
✓,Yes! You Talk Too Fast,Johnny Foreigner,3.4,2008,Pop Punk; Emo-Pop; Indie Rock,P0p Punk; Emo-P0p; Indie Rock; Punk Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Yes! You Talk Too Fast,,10660,2024-07-21 10660,,,3,#a2c4c9,#274e13
✓,"Sometimes, in the Bullring",Johnny Foreigner,3.3,2008,Pop Punk; Indie Rock; Emo-Pop,P0p Punk; Indie Rock; Emo-P0p; Punk Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,"Johnny Foreigner - Sometimes, in the Bullring",,10661,2024-07-21 10661,,,9,#a2c4c9,#274e13
✓,Yr All Just Jealous,Johnny Foreigner,3.3,2008,Indie Rock; Emo-Pop; Midwest Emo; Pop Punk,Indie Rock; Emo-P0p; Midwest Emo; P0p Punk; Alternative Rock; Punk Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Yr All Just Jealous,,10662,2024-07-21 10662,,,10,#a2c4c9,#274e13
✓,Absolute Balance,Johnny Foreigner,3.3,2008,Post-Hardcore; Midwest Emo,Post-Hardcore; Midwest Emo; Hardcore [Punk]; Indie Rock; Alternative Rock,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - Absolute Balance,,10663,2024-07-21 10663,,,11,#a2c4c9,#274e13
✓,The Hidden Song at the End of the Record,Johnny Foreigner,3.3,2008,Indie Rock; Emo-Pop,Indie Rock; Emo-P0p; Alternative Rock; Punk,A-INC; energetic; anthemic; bittersweet; passionate; catchy; noisy; Summer; urban; adventure; anxious; quirky; sunny day; nostalgic; resolute,,,English,,,,,,,7/21/2024,Johnny Foreigner - The Hidden Song at the End of the Record,,10664,2024-07-21 10664,,,12,#a2c4c9,#274e13
✓,Loving Is Easy,Rex Orange County; ft. Benny Sings,3.5,2017,Bedroom Pop; Indie Pop,Bedroom Pop; Indie Pop,INC; love; twee; soft; happy; sunny day; uplifting; optimistic; Summer; soothing; celebration; lush,,,English,,,,,,,7/21/2024,Rex Orange County; ft. Benny Sings - Loving Is Easy,,10665,2024-07-21 10665,,,,#ff9900,#000000
✓,Yeah Glo!,GloRilla,3.3,2024,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; boastful; fight song; triumphant; celebration; aggressive; fun; anthemic,,,English,,,,,,,7/21/2024,GloRilla - Yeah Glo!,,10666,2024-07-21 10666,,,,#000000,#ff0000
✓,For Mom,Buckethead,3.5,1998,Acoustic Rock; New Age,Acoustic Rock; New Age,INC; soft; ECM Style; relaxation; sunset; peaceful; soothing; uplifting; celebration; bittersweet; happy; cloudy day,,,Instrumental,,,,,,,7/21/2024,Buckethead - For Mom,,10667,2024-07-21 10667,,,2,#434343,#b4a7d6
✓,Ghost,Buckethead,3.3,1998,Trip Hop; Acoustic Rock,Trip Hop; Acoustic Rock; Downtempo; Electronic,INC; soft; ECM Style; relaxation; night; sunset; peaceful; soothing; cloudy day,,,Instrumental,,,,,,,7/21/2024,Buckethead - Ghost,,10668,2024-07-21 10668,,,5,#434343,#b4a7d6
✓,Machete,Buckethead,3.4,1998,Trip Hop,Trip Hop; Downtempo; Electronic,INC; mysterious; light black; late night; adventure; ECM Style; relaxation,,,Instrumental,,,,,,,7/21/2024,Buckethead - Machete,,10669,2024-07-21 10669,,,3,#434343,#b4a7d6
✓,N,Buckethead,3.4,2014,Progressive Rock; Progressive Metal,Progressive Rock; Progressive Metal,INC; melancholic; epic; death; energetic; passionate,,,Instrumental,,,,[yt*],,,7/22/2024,Buckethead - N,,10670,2024-07-22 10670,,,,#20124d,#b4a7d6
✓,Y,Buckethead,3.3,2014,Progressive Rock; Progressive Metal,Progressive Rock; Progressive Metal,INC; melancholic; epic; death; energetic; passionate,,,Instrumental,,,,[yt*],,,7/22/2024,Buckethead - Y,,10671,2024-07-22 10671,,,,#20124d,#b4a7d6
✓,C,Buckethead,3.3,2014,Progressive Rock; Progressive Metal,Progressive Rock; Progressive Metal,INC; melancholic; epic; death; energetic; passionate,,,Instrumental,,,,[yt*],,,7/22/2024,Buckethead - C,,10672,2024-07-22 10672,,,,#20124d,#b4a7d6
✓,4,Buckethead,3.4,2014,Progressive Rock; Progressive Metal,Progressive Rock; Progressive Metal,INC; melancholic; epic; death; energetic; passionate,,,Instrumental,,,,[yt*],,,7/22/2024,Buckethead - 4,,10673,2024-07-22 10673,,,,#20124d,#b4a7d6
✓,er,Buckethead,3.4,2014,Progressive Rock; Progressive Metal,Progressive Rock; Progressive Metal,INC; melancholic; epic; death; energetic; passionate,,,Instrumental,,,,[yt*],,,7/22/2024,Buckethead - er,,10674,2024-07-22 10674,,,,#20124d,#b4a7d6
✓,Simbo,Ali Farka Touré; Toumani Diabaté,3.3,2005,Mande Music; Songhai Music,Mande Music; Songhai Music; West African Music; Regional Music,INC; peaceful; happy; relaxation; soft; sunny day; soothing; calm; morning; Summer; twee; uplifting; desert,,,Instrumental,,,,[collab],,,7/23/2024,Ali Farka Touré; Toumani Diabaté - Simbo,,10675,2024-07-23 10675,,,2,#fce5cd,#8f3f4d
✓,Plastic 100°C,Sampha,3.4,2017,Alternative R&B; Neo-Soul; Folktronica,Alternative R&B; Neo-Soul; F0lktronica; Contemporary R&B; Electronic,INC; hot; anxious; fight song; light black; poetic; mysterious,,,English,,,,,,,7/24/2024,Sampha - Plastic 100°C,1006,10676,2024-07-24 10676,,,,#ffe599,#000000
✓,Kora Sings,Sampha,3.3,2017,Alternative R&B; Art Pop,Alternative R&B; Art Pop; Contemporary R&B,INC; futuristic; mechanical; ethereal; poetic,,,English,,,,,,,7/25/2024,Sampha - Kora Sings,,10677,2024-07-25 10677,,,,#ffe599,#000000
✓,(No One Knows Me) Like the Piano,Sampha,3.4,2017,Singer-Songwriter; Pop Soul; Neo-Soul,Singer-Songwriter; Pop Soul; Neo-Soul; R&B,INC; nostalgic; melancholic; introspective; death; bittersweet; sulking; rainy; sparse; soft; soothing; relaxation; low energy; calm; ballad,,,English,,,,,,,7/25/2024,Sampha - (No One Knows Me) Like the Piano,,10678,2024-07-25 10678,,,,#ffe599,#000000
✓,Is There Really No Happiness?,Porter Robinson,3.8,2024,Indietronica; Electropop; Alternative Rock,Indietronica; Electropop; Alternative Rock; Electronic; Pop,nostalgic; introspective; sulking; melancholic; catchy; bittersweet; sad; passionate; energetic; anthemic,,,English,,,Seen live,,,,7/25/2024,Porter Robinson - Is There Really No Happiness?,,10679,2024-07-25 10679,,,,#cc0000,#fce5cd
✓,Everything to Me,Porter Robinson,3.3,2024,Soft Rock; Singer-Songwriter,Soft Rock; Singer-Songwriter; Pop Rock,INC; soft; soothing; sunset; relaxation; peaceful; calm; low energy; bittersweet,,,English,,,,,,,7/26/2024,Porter Robinson - Everything to Me,,10680,2024-07-26 10680,,,,#cc0000,#fce5cd
✓,Swim,Madonna,3.3,1998,Trip Hop; Art Pop; Alternative Dance,Trip Hop; Art Pop; Alternative Dance; Downtempo; Electronic; Alternative Rock,INC; aquatic; sulking; melancholic; sad; ethereal; surreal; poetic; cloudy day; rainy; lush,,,English,,,,,,,7/26/2024,Madonna - Swim,,10681,2024-07-26 10681,,,6,#26887d,#ffffff
✓,The Power of Good-Bye,Madonna,3.3,1998,Downtempo; Adult Contemporary,Downtempo; Adult Contemporary; Electronic; Pop,INC; lush; ethereal; breakup; love; bittersweet; religious; sunset; uplifting; resolute; introspective,,,English,,,,,,,7/26/2024,Madonna - The Power of Good-Bye,,10682,2024-07-26 10682,,,7,#26887d,#ffffff
✓,Le risque,King Gizzard & The Lizard Wizard,3.5,2024,Boogie Rock; Glam Rock,B00gie Rock; Glam Rock; Bl–es Rock,INC; fun; uplifting; energetic; quirky; anthemic; passionate; fight song; party,,,English,,,,,,,7/27/2024,King Gizzard & The Lizard Wizard - Le risque,,10683,2024-07-27 10683,,,,#79dfff,#783f04
✓,Hog Calling Contest,King Gizzard & The Lizard Wizard,3.5,2024,Southern Rock; Boogie Rock; Rockabilly,Southern Rock; B00gie Rock; Rockabilly; Bl–es Rock; Rock & Roll,fun; quirky; uplifting; happy; optimistic; energetic; passionate; resolute; celebration; fight song; manic; anthemic; dense; adventure; epic; party; sunny day,,,English,,,,,,,7/27/2024,King Gizzard & The Lizard Wizard - Hog Calling Contest,3741,10684,2024-07-27 10684,,,,#79dfff,#783f04
✓,Maybe Man,AJR,3.5,2023,Baroque Pop; Alt-Pop; Chamber Pop; Art Pop; Classical Crossover,Baroque Pop; Alt-Pop; Chamber Pop; Art Pop; Cl–ssical Crossover; Indie Pop,INC; epic; lush; bittersweet; melancholic; sulking; ethereal; introspective,,,English,,,,,,,7/27/2024,AJR - Maybe Man,,10685,2024-07-27 10685,,,,#45818e,#ffe599
✓,Touchy Feely Fool,AJR,3.3,2023,Indie Pop,Indie Pop,INC; lush; anthemic; passionate; bittersweet; melancholic; introspective; sunny day; epic,,,English,,,,,,,7/27/2024,AJR - Touchy Feely Fool,,10686,2024-07-27 10686,,,,#45818e,#ffe599
✓,The Dumb Song,AJR,3.5,2023,Indie Pop; Jangle Pop,Indie Pop; Jangle Pop; Pop Rock; Alternative Rock,INC; fun; energetic; uplifting; catchy; anthemic,,,English,,,,,,,7/27/2024,AJR - The Dumb Song,,10687,2024-07-27 10687,,,,#45818e,#ffe599
✓,God Is Really Real,AJR,3.3,2023,Singer-Songwriter; Indie Folk,Singer-Songwriter; Indie Folk; Contemporary Folk,INC; death; melancholic; existential; somber; soft; lush; introspective; religious; sulking; philosophical,,,English,,,,,,,7/27/2024,AJR - God Is Really Real,,10688,2024-07-27 10688,,,,#45818e,#ffe599
✓,Free,Calvin Harris; Ellie Goulding,3.3,2024,Euro-Trance; Vocal Trance; Eurodance,Euro-Trance; Vocal Trance; Eurodance; EDM; Electronic; Dance-Pop,INC; ethereal; energetic; party; lush; night; fun; uplifting; love; happy; celebration,,,English,,,,[collab],,,7/27/2024,Calvin Harris; Ellie Goulding - Free,,10689,2024-07-27 10689,,,,#7ff2ff,#674ea7
✓,I Kissed a Girl,Katy Perry,3.3,2008,Pop Rock; Alternative Dance,Pop Rock; Alternative Dance; Alternative Rock,INC; LGBT; fun; sexual; anthemic; catchy; party,,,English,,,,,,,7/27/2024,Katy Perry - I Kissed a Girl,,10690,2024-07-27 10690,,,3,#ffe599,#ff1e74
✓,Rollercoaster,Bleachers,3.3,2014,New Wave; Power Pop; Big Music; Alternative Rock,New Wave; Power Pop; Big Music; Alternative Rock; Pop Rock,INC; anthemic; uplifting; Summer; urban night; sunset; nostalgic; love; bittersweet; triumphant; energetic,,,English,,,,,,,7/27/2024,Bleachers - Rollercoaster,,10691,2024-07-27 10691,,,,#ffffff,#000000
✓,The End,Halsey,3.3,2024,Singer-Songwriter; Contemporary Folk,Singer-Songwriter; Contemporary Folk,INC; melancholic; death; sparse; love; bittersweet; introspective; soft; sulking; calm; late night,,,English,,,,,,,7/27/2024,Halsey - The End,,10692,2024-07-27 10692,,,,#fff2cc,#cc0000
✓,Language,Porter Robinson,3.3,2012,Festival Progressive House; Electro House,Festival Pr0gressive House; Electro House; EDM; Dance; Electronic,INC; uplifting; ethereal; triumphant; celebration; party; epic; lush; repetitive,,,English,,,Seen live,,,,7/27/2024,Porter Robinson - Language,,10693,2024-07-27 10693,,,,#c3eee4,#000000
✓,The Plan,Built to Spill,3.4,1999,Indie Rock; Slacker Rock; Neo-Psychedelia,Indie Rock; Slacker Rock; Neo-Psychedelia; Alternative Rock,INC; melancholic; existential; philosophical; introspective; noisy; energetic; passionate,,,English,,,,,,,7/30/2024,Built to Spill - The Plan,,10694,2024-07-30 10694,,,4,#d0e0e3,#ff6700
✓,Center of the Universe,Built to Spill,3.3,1999,Indie Rock; Slacker Rock,Indie Rock; Slacker Rock; Alternative Rock,INC; conscious; anxious,,,English,,,,,,,7/30/2024,Built to Spill - Center of the Universe,,10695,2024-07-30 10695,,,8,#d0e0e3,#ff6700
✓,Sidewalk,Built to Spill,3.3,1999,Noise Pop; Indie Rock; Slacker Rock,N0ise P0p; Indie Rock; Slacker Rock; Alternative Rock,INC; noisy; conscious; passionate,,,English,,,,,,,7/30/2024,Built to Spill - Sidewalk,,10696,2024-07-30 10696,,,9,#d0e0e3,#ff6700
✓,Time Trap,Built to Spill,3.3,1999,Indie Rock; Space Rock Revival; Slacker Rock,Indie Rock; Space Rock Revival; Slacker Rock; Alternative Rock; Neo-Psychedelia; Psychedelic Rock,INC; existential; philosophical; sulking; melancholic; noisy; epic; passionate; heavy; progressive,,,English,,,,,,,7/30/2024,Built to Spill - Time Trap,,10697,2024-07-30 10697,,,10,#d0e0e3,#ff6700
✓,Else,Built to Spill,3.3,1999,Indie Rock; Psychedelic Rock,Indie Rock; Psychedelic Rock; Alternative Rock,INC; existential; melancholic; philosophica; sulking; melancholic; night,,,English,,,,,,,7/30/2024,Built to Spill - Else,,10698,2024-07-30 10698,,,11,#d0e0e3,#ff6700
✓,Broken Chairs,Built to Spill,3.4,1999,Indie Rock; Progressive Rock; Psychedelic Rock; Art Rock,Indie Rock; Progressive Rock; Psychedelic Rock; Art Rock; Alternative Rock,INC; poetic; philosophical; existential; progressive; noisy,,,English,,,,,,,7/30/2024,Built to Spill - Broken Chairs,,10699,2024-07-30 10699,,,5,#d0e0e3,#ff6700
✓,A Rush and a Push and the Land Is Ours,Smiths,3.3,1987,Indie Pop; New Wave,Indie Pop; New Wave; Rock,INC; lonely; poetic; bittersweet; surreal; melancholic,,,English,,,,,,,7/30/2024,Smiths - A Rush and a Push and the Land Is Ours,,10700,2024-07-30 10700,,,,#ffe599,#000000
✓,I Started Something I Couldn't Finish,Smiths,3.3,1987,Indie Rock; Jangle Pop; Indie Pop,Indie Rock; Jangle Pop; Indie Pop; Alternative Rock; Pop Rock,INC; breakup; melancholic; sad,,,English,,,,,,,7/30/2024,Smiths - I Started Something I Couldn't Finish,,10701,2024-07-30 10701,,,,#ffe599,#000000
✓,Death of a Disco Dancer,Smiths,3.3,1987,Post-Punk; Indie Rock; Art Rock,Post-Punk; Indie Rock; Art Rock; Alternative Rock,INC; light black; death; conscious; political; melancholic; sulking; pessimistic; sad; somber,,,English,,,,,,,7/30/2024,Smiths - Death of a Disco Dancer,,10702,2024-07-30 10702,,,,#ffe599,#000000
✓,Stop Me If You Think You've Heard This One Before,Smiths,3.3,1987,Jangle Pop; Indie Rock; Indie Pop; Post-Punk,Jangle Pop; Indie Rock; Indie Pop; Post-Punk; Pop Rock; Alternative Rock,INC; bittersweet; melancholic; energetic,,,English,,,,,,,7/30/2024,Smiths - Stop Me If You Think You've Heard This One Before,,10703,2024-07-30 10703,,,,#ffe599,#000000
✓,The Headmaster Ritual,Smiths,3.4,1985,Jangle Pop; Post-Punk; Indie Rock,Jangle Pop; Post-Punk; Indie Rock; Pop Rock; Alternative Rock,INC; protest; conscious; sulking; angry; anxious; violence; crime; dark,,,English,,,,,,,7/30/2024,Smiths - The Headmaster Ritual,,10704,2024-07-30 10704,,,,#ffffff,#38761d
✓,That Joke Isn't Funny Anymore,Smiths,3.3,1985,Jangle Pop; Indie Pop; Neo-Psychedelia; Post-Punk,Jangle Pop; Indie Pop; Neo-Psychedelia; Post-Punk; Pop Rock; Alternative Rock,INC; sulking; introspective; lonely; somber; melancholic; sad; death; existential; suicide,,,English,,,,,,,7/30/2024,Smiths - That Joke Isn't Funny Anymore,,10705,2024-07-30 10705,,,,#ffffff,#38761d
✓,Barbarism Begins at Home,Smiths,3.4,1985,Dance-Punk; Jangle Pop; Funk Rock,Danc3-Punk; Jangle Pop; F–nk Rock; Post-Punk; Pop Rock; Alternative Rock,INC; fun; violence; catchy; energetic; fight song,,,English,,,,,,,7/30/2024,Smiths - Barbarism Begins at Home,,10706,2024-07-30 10706,,,,#ffffff,#38761d
